"feature","interactive","int1","int2","int3","noninteractive","nonint1","nonint2","nonint3"
"time",8.9648199856364e-08,3.7075416532242e-05,0.0455814507869213,4.54487246283201e-05,1.41661221434473e-14,1.27476217796909e-09,0.0895897898369665,9.36285352202946e-10
"pathLength",2.2748879896725e-06,8.74298663952052e-08,0.00157353518215402,0.00192492264329891,3.79567564711156e-08,5.34191595546911e-08,1.22303518152952e-06,3.34730295906147e-09
"issuesCount",9.2388362066393e-14,2.95978287764989e-08,5.0520065246523e-06,5.58790119754766e-08,1.20685315002512e-13,9.69428658460054e-08,3.99554417035223e-06,1.13981827837864e-09
"clicks",2.27059943570331e-05,1.84475935333815e-05,0.0071598924844641,0.00233719292559773,1.13855883554751e-11,9.50607865987618e-10,0.0181125209368193,3.1376579104748e-09
"deadClicks",6.47746083300438e-08,1.15948601919027e-07,0.142923790215377,2.52207466382237e-06,1.02883079942821e-14,1.56661985817378e-09,0.407079005020591,1.57138701223615e-10
"ease",3.01686666658456e-06,1.35182262235673e-05,0.00168894163473717,0.025619690139791,9.2924607947249e-07,0.00136155416420917,0.0144090213866435,0.00192999929110751
"lostness",5.363129734753e-07,5.02002411482782e-05,0.0095724534780886,0.00852433163574332,3.70240765620794e-06,0.00638929073710955,0.02160407555325,0.00335423228893746
"time",0.00609780940686048,NA,NA,NA,6.518053709728e-05,NA,NA,NA
"umux",0.137933978807744,NA,NA,NA,0.37141788807629,NA,NA,NA
