"feature","p","Xsquared","df","cohenW","n","task"
"outsideClicks",2.72544897136007e-10,39.8620689655172,1,0.5862,116,NA
"outsideClicks",5.53432709568434e-06,20.6428571428571,1,0.6071,56,1
"outsideClicks",0.000245732779930304,13.4444444444444,1,0.6111,36,2
"outsideClicks",0.0143058784354296,6,1,0.5,24,3
