,respondent,variant,age,gender,education,income,web,stores,time,umux1,umux2,umux3,umux4,clickability,hotspotOptions,hotspotHelp,spamClicks,note,att1,att2
59,15,non-interactive,18 - 27,Woman,High school diploma,"£30,000 - £39,999",Few times a day,Several times a week,00:08:26,5,2,6,2,no e.g. filter button to sort ,,"2:20, 3:50, 4:15, 4:25, 4:35, 4:40, 5:55, 6:00. 6:05, 6:10",,Did not answer,Salad,30
61,18,non-interactive,18 - 27,Woman,Undergraduate degree,"£0 - £9,999",For a significant part of the day,Once a week,00:08:15,7,2,6,1,"I think everything was pretty much clickable, sometimes I was used to clicking something else but quickly figured out where I should go next. ","I have noticed the blue flashing areas., The blue flashing areas distracted me while navigating the prototype.","2:00, 3:25, 3:35, 4:55",,N/A.,Salad,30
62,19,non-interactive,18 - 27,Woman,Undergraduate degree,"£20,000 - £29,999",Few times a day,Several times a week,00:04:53,4,6,2,6,no - wouldnt let me click on my basket or click on the returns policy,I have noticed the blue flashing areas.,"1:20, 1:40, 1:45",2:30,Did not answer,Salad,30
63,20,non-interactive,18 - 27,Woman,Technical/community college,"£0 - £9,999",Few times a day,Several times a week,00:13:57,6,2,6,3,"No, some features such as 'sort by' could not be used",I have noticed the blue flashing areas.,"3:00, 4:45, 5:15, 5:25, 7:25",4:25,Did not answer,Salad,30
64,21,non-interactive,18 - 27,Woman,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Several times a week,00:07:07,4,6,5,6,"No, it only let me click things related to the tasks and not everything else","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","0:55, 1:00, 1:15, 1:20, 2:00, 2:15, 2:20, 3:25, 3:30",,There seemed to be other ways to complete the task but I was only allowed to click specific areas as highlighted by the blue flash,Salad,30
65,24,non-interactive,18 - 27,Woman,Undergraduate degree,"£30,000 - £39,999",Few times a day,Several times a week,00:05:16,7,1,7,3,Some things I was not able to click but I still managed to find what I needed quickly,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","1:10, 1:20, 2:55, 3:05, 3:10",1:25,Nothing else,Salad,30
66,26,non-interactive,28 - 37,Man,Graduate degree,"More than £100,000",For a significant part of the day,Several times a week,00:08:26,1,7,1,6,No - i couldn't click orders when doing a return. I couldn't click to add to wishlist on the first item - i think because i didn't select the colour even though i thought i was on the black t-shirt page.,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.","1:35, 1:50, 4:05, 5:30, 5:45, 5:50","2:10, 3:20, 3:50",Did not answer,Salad,30
67,27,non-interactive,28 - 37,Man,Graduate degree,"£20,000 - £29,999",For a significant part of the day,Several times a month,00:04:33,4,3,4,5,"No, only highlighted options","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","0:55, 1:25, 2:05, 2:10, 3:05, 3:10, 3:10, 3:25","1:20, 2:10, 3:15",Did not answer,Salad,30
68,28,non-interactive,28 - 37,Woman,Secondary education,"£0 - £9,999",Few times a day,Several times a week,00:09:18,6,2,6,2,Yes-anything I tried to click on that didn't work was my error. ,"I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily.","2:45, 4:20, 4:30, 6:30",,Did not answer,Salad,30
69,30,non-interactive,38 - 47,Man,Graduate degree,"£75,000 - £100,000",Few times a day,Several times a week,00:08:35,5,4,5,4,yes I could click everything I needed to.,None of the above.,"4:15, 4:20, 6:35","2:50, 2:55",Did not answer,Salad,30
70,31,non-interactive,38 - 47,Woman,Undergraduate degree,"More than £100,000",Few times a day,Several times a week,00:10:49,2,6,2,5,"No, on the second task I couldn't select the basket or my user name to check out.","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., The blue flashing areas distracted me while navigating the prototype.","1:35, 2:20, 3:25, 6:35, 6:40, 6:50, 7:00",,Did not answer,Salad,30
71,33,non-interactive,48 - 57,Woman,Technical/community college,"£30,000 - £39,999",Few times a day,Daily,00:07:43,1,7,2,5,No - the links at the bottom (for example the returns policy) did not work at all.,None of the above.,"1:20, 2:20, 5:05",3:20,Did not answer,Salad,30
72,34,non-interactive,28 - 37,Woman,Undergraduate degree,"£30,000 - £39,999",For a significant part of the day,Several times a week,00:09:17,4,3,4,4,"Not always no, when finding the cheapest tshirt I went staight to the click the 'popularity' filter to change it from low to high cost. When returning my product, I didn't naturally log in, I went to the bottom of the page to click returns, and that wasn't clickable. ","I have noticed the blue flashing areas., The blue flashing areas helped me complete the task more easily., I sometimes deliberately clicked unrelated areas of the screen to make the blue flashing areas appear.","1:10, 1:25, 1:40, 3:50, 3:55, 5:40, 6:05",5:45,I'd have struggled without the blue flashes in these tasks. ,Salad,30
73,35,non-interactive,48 - 57,Man,Graduate degree,"£20,000 - £29,999",Few times a day,Several times a week,00:08:45,3,5,3,5,No - Return Policy and Contact links were not clickable,None of the above.,3:15,2:20,No,Salad,30
