,task,screen,nextScreen,interactive,nonInteractive,diff,sum
136,3,SEARCH-POPUP,SALES-2,1,0,1,1
148,3,SHOES,HOODIES,1,0,1,1
150,3,SHOES,LOGIN,1,0,1,1
149,3,SHOES,SALES,1,0,1,1
147,3,SHOES,TSHIRTS,1,0,1,1
134,3,TSHIRT,ACCESSORIES,1,0,1,1
133,3,TSHIRT,PROFILE/OVERVIEW,25,0,25,25
135,3,TSHIRT,PROFILE/PURCHASES,7,0,7,7
131,3,TSHIRT-PLACEHOLDER,TSHIRTS,2,0,2,2
109,3,TSHIRTS,NEW,2,0,2,2
108,3,TSHIRTS,TSHIRT,2,0,2,2
107,3,TSHIRTS,TSHIRT-PLACEHOLDER,2,0,2,2
106,3,TSHIRTS,TSHIRTS,1,0,1,1
111,3,WISHLIST,ACCESSORIES,1,0,1,1
112,3,WISHLIST,CART,1,0,1,1
113,3,WISHLIST,LOGIN,1,0,1,1
114,3,WISHLIST,REGISTER,1,0,1,1
110,3,WISHLIST,TSHIRTS,2,0,2,2
